# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.3807,-20.5080,0.7323,0.7323
-0.3807,-20.6038,0.7007,0.7007
-0.3807,-20.6997,0.6775,0.6775
-0.3807,-20.7955,0.6633,0.6633
-0.3807,-20.8914,0.6585,0.6585
-0.3807,-20.9872,0.6585,0.6585
-0.2848,-21.0831,0.7544,0.7544
-0.2848,-21.1789,0.7544,0.7544
-0.2848,-21.2748,0.7544,0.7544
-0.2848,-21.3706,0.7544,0.7544
-0.2848,-21.4665,0.7544,0.7544
-0.2848,-21.5623,0.7544,0.7544
-0.2848,-21.6582,0.7544,0.7544
-0.2848,-21.7540,0.7544,0.7544
-0.2848,-21.8499,0.7544,0.7544
-0.2848,-21.9457,0.7323,0.7323
-0.2848,-22.0416,0.7007,0.7007
-0.2848,-22.1374,0.6775,0.6775
-0.2848,-22.2333,0.6633,0.6633
-0.1890,-22.3291,0.7544,0.7544
-0.1890,-22.4250,0.7544,0.7544
-0.1890,-22.5208,0.7544,0.7544
-0.1890,-22.6167,0.7544,0.7544
-0.1890,-22.7125,0.7544,0.7544
-0.1890,-22.8084,0.7544,0.7544
-0.1890,-22.9042,0.7323,0.7323
-0.1890,-23.0001,0.7007,0.7007
-0.0931,-23.0959,0.7007,0.7007
-0.0931,-23.1918,0.7323,0.7323
-0.0931,-23.2876,0.7544,0.7544
-0.0931,-23.3835,0.7544,0.7544
-0.0931,-23.4793,0.7544,0.7544
-0.0931,-23.5752,0.7544,0.7544
-0.0931,-23.6710,0.7323,0.7323
-0.0931,-23.7669,0.7007,0.7007
0.0027,-23.8627,0.7007,0.7007
0.0027,-23.9586,0.7323,0.7323
0.0027,-24.0544,0.7544,0.7544
0.0027,-24.1503,0.7544,0.7544
0.0027,-24.2461,0.7544,0.7544
0.0027,-24.3420,0.7323,0.7323
0.0027,-24.4378,0.7007,0.7007
0.0986,-24.5337,0.7007,0.7007
0.0986,-24.6295,0.7323,0.7323
0.0986,-24.7254,0.7544,0.7544
0.0986,-24.8212,0.7323,0.7323
0.0986,-24.9171,0.7007,0.7007
0.0986,-25.0129,0.6775,0.6775
0.0986,-25.1088,0.6633,0.6633
0.1944,-25.2046,0.7323,0.7323
0.1944,-25.3005,0.7544,0.7544
0.1944,-25.3963,0.7323,0.7323
0.1944,-25.4922,0.7007,0.7007
0.1944,-25.5880,0.6775,0.6775
0.1944,-25.6839,0.6633,0.6633
0.2903,-25.7797,0.7323,0.7323
0.2903,-25.8756,0.7007,0.7007
0.2903,-25.9714,0.6775,0.6775
0.3861,-26.0673,0.7323,0.7323
0.3861,-26.1631,0.7544,0.7544
0.3861,-26.2590,0.7323,0.7323
0.3861,-26.3548,0.7007,0.7007
0.4820,-26.4507,0.7007,0.7007
0.4820,-26.5465,0.7323,0.7323
0.4820,-26.6424,0.7007,0.7007
0.4820,-26.7382,0.6775,0.6775
0.5778,-26.8341,0.7323,0.7323
0.5778,-26.9299,0.7323,0.7323
0.5778,-27.0258,0.7007,0.7007
0.6737,-27.1216,0.7007,0.7007
0.6737,-27.2175,0.7323,0.7323
0.6737,-27.3133,0.7323,0.7323
0.7695,-27.4092,0.7007,0.7007
0.7695,-27.5050,0.7323,0.7323
0.7695,-27.6009,0.7323,0.7323
0.7695,-27.6967,0.7007,0.7007
0.8654,-27.7926,0.7323,0.7323
0.8654,-27.8884,0.7323,0.7323
0.8654,-27.9843,0.7007,0.7007
0.9612,-28.0801,0.7323,0.7323
0.9612,-28.1760,0.7323,0.7323
1.0571,-28.2718,0.7007,0.7007
1.0571,-28.3677,0.7323,0.7323
1.0571,-28.4635,0.7323,0.7323
1.1529,-28.5594,0.7007,0.7007
1.1529,-28.6552,0.7323,0.7323
1.1529,-28.7511,0.7007,0.7007
1.2488,-28.8469,0.7323,0.7323
1.2488,-28.9428,0.7323,0.7323
1.2488,-29.0386,0.6868,0.6868
1.3446,-29.1345,0.7323,0.7323
1.3446,-29.2303,0.6868,0.6868
1.4405,-29.3262,0.7323,0.7323
1.4405,-29.4220,0.7007,0.7007
1.4405,-29.5179,0.6775,0.6775
1.5363,-29.6137,0.7323,0.7323
