# x_m,y_m,w_tr_right_m,w_tr_left_m
7.2935,-2.4708,2.1277,2.1277
7.2435,-2.4208,2.1277,2.1277
7.1935,-2.3708,2.1277,2.1277
7.1435,-2.3208,2.1277,2.1277
7.0935,-2.2708,2.1204,2.1204
7.0435,-2.2208,2.1102,2.1102
6.9935,-2.1708,2.1023,2.1023
6.9435,-2.1208,2.0966,2.0966
6.8935,-2.1208,2.0920,2.0920
6.8435,-2.0708,2.0920,2.0920
6.7935,-2.0208,2.0920,2.0920
6.7435,-1.9708,2.0920,2.0920
6.6935,-1.9208,2.0920,2.0920
6.6435,-1.8708,2.0920,2.0920
6.5935,-1.8208,2.0920,2.0920
6.5435,-1.7708,2.0932,2.0932
6.4935,-1.7208,2.0932,2.0932
6.4435,-1.7208,2.0639,2.0639
6.3935,-1.6708,2.0708,2.0708
6.3435,-1.6208,2.0800,2.0800
6.2935,-1.5708,2.0915,2.0915
6.2435,-1.5208,2.0932,2.0932
6.1935,-1.4708,2.0966,2.0966
6.1435,-1.4708,2.0639,2.0639
6.0935,-1.4208,2.0708,2.0708
6.0435,-1.3708,2.0800,2.0800
5.9935,-1.3208,2.0915,2.0915
5.9435,-1.2708,2.0966,2.0966
5.8935,-1.2708,2.0708,2.0708
5.8435,-1.2208,2.0800,2.0800
5.7935,-1.1708,2.0915,2.0915
5.7435,-1.1208,2.1023,2.1023
5.6935,-1.1208,2.0783,2.0783
5.6435,-1.0708,2.0915,2.0915
5.5935,-1.0208,2.1051,2.1051
5.5435,-0.9708,2.0915,2.0915
5.4935,-0.9708,2.0915,2.0915
5.4435,-0.9208,2.1051,2.1051
5.3935,-0.9208,2.0783,2.0783
5.3435,-0.8708,2.0915,2.0915
5.2935,-0.8708,2.0633,2.0633
5.2435,-0.8208,2.0783,2.0783
5.1935,-0.7708,2.0954,2.0954
5.1435,-0.7208,2.1051,2.1051
5.0935,-0.7208,2.0915,2.0915
5.0435,-0.6708,2.1142,2.1142
4.9935,-0.6708,2.0915,2.0915
4.9435,-0.6208,2.1142,2.1142
4.8935,-0.6208,2.0915,2.0915
